Datum;Anzahl ;Positiv;Negativ;Prozent_Positiv;Prozent_Negativ;Chatbot
06-04-2020;401;377;24;94;6;Corey
06-04-2020;251;233;18;93;7;Corey-IM
06-04-2020;150;144;6;96;4;Corey-Emmendingen
06-04-2020;0;0;0;0;0;Corey-Ravensburg
06-04-2020;0;0;0;0;0;Corey-Calw
06-04-2020;0;0;0;0;0;Corey-Esslingen
06-04-2020;0;0;0;0;0;Corey-Main-Tauber-Kreis
06-04-2020;0;0;0;0;0;Corey-Heilbronn
06-04-2020;0;0;0;0;0;Corey-Loerrach
06-04-2020;0;0;0;0;0;Corey-Reutlingen
06-04-2020;0;0;0;0;0;Corey-Heidenheim
06-04-2020;0;0;0;0;0;Corey-Karlsruhe
06-04-2020;0;0;0;0;0;Corey-Mannheim
07-04-2020;990;942;48;95;5;Corey
07-04-2020;721;693;28;96;4;Corey-IM
07-04-2020;246;226;20;92;8;Corey-Emmendingen
07-04-2020;23;23;0;100;0;Corey-Ravensburg
07-04-2020;0;0;0;0;0;Corey-Calw
07-04-2020;0;0;0;0;0;Corey-Esslingen
07-04-2020;0;0;0;0;0;Corey-Main-Tauber-Kreis
07-04-2020;0;0;0;0;0;Corey-Heilbronn
07-04-2020;0;0;0;0;0;Corey-Loerrach
07-04-2020;0;0;0;0;0;Corey-Reutlingen
07-04-2020;0;0;0;0;0;Corey-Heidenheim
07-04-2020;0;0;0;0;0;Corey-Karlsruhe
07-04-2020;0;0;0;0;0;Corey-Mannheim
08-04-2020;846;826;20;98;2;Corey
08-04-2020;653;643;10;98;2;Corey-IM
08-04-2020;152;142;10;93;7;Corey-Emmendingen
08-04-2020;34;34;0;100;0;Corey-Ravensburg
08-04-2020;7;7;0;100;0;Corey-Calw
08-04-2020;0;0;0;0;0;Corey-Esslingen
08-04-2020;0;0;0;0;0;Corey-Main-Tauber-Kreis
08-04-2020;0;0;0;0;0;Corey-Heilbronn
08-04-2020;0;0;0;0;0;Corey-Loerrach
08-04-2020;0;0;0;0;0;Corey-Reutlingen
08-04-2020;0;0;0;0;0;Corey-Heidenheim
08-04-2020;0;0;0;0;0;Corey-Karlsruhe
08-04-2020;0;0;0;0;0;Corey-Mannheim
09-04-2020;1152;1130;22;98;2;Corey
09-04-2020;924;908;16;98;2;Corey-IM
09-04-2020;132;124;8;94;6;Corey-Emmendingen
09-04-2020;29;29;0;100;0;Corey-Ravensburg
09-04-2020;67;65;2;97;3;Corey-Calw
09-04-2020;0;0;0;0;0;Corey-Esslingen
09-04-2020;0;0;0;0;0;Corey-Main-Tauber-Kreis
09-04-2020;0;0;0;0;0;Corey-Heilbronn
09-04-2020;0;0;0;0;0;Corey-Loerrach
09-04-2020;0;0;0;0;0;Corey-Reutlingen
09-04-2020;0;0;0;0;0;Corey-Heidenheim
09-04-2020;0;0;0;0;0;Corey-Karlsruhe
09-04-2020;0;0;0;0;0;Corey-Mannheim
